claim_id,required_document_action,allowed_document_locations,status
CLAIM_RETRO_Persistence_H5_T16_R05_RECALL,use canonical claim statement and value,"main_table3,si_alarm_budget,discussion",pending_editorial_use
CLAIM_RETRO_Ridge_H5_T16_R05_RECALL,use canonical claim statement and value,"main_table3,si_alarm_budget,discussion",pending_editorial_use
CLAIM_RETRO_fixed_rank_ensemble_H5_T16_R05_RECALL,use canonical claim statement and value,"main_table3,si_alarm_budget,discussion",pending_editorial_use
CLAIM_SEQ_PAST_ONLY_SEQUENTIAL_THRESHOLD_SIMULATION_ELIGIBLE_N,use canonical claim statement and value,"main_sequential_table,SI",pending_editorial_use
CLAIM_SEQ_HISTORICAL_QUOTA_ENFORCED_SEQUENTIAL_SIMULATION_ELIGIBLE_N,use canonical claim statement and value,"main_sequential_table,SI",pending_editorial_use
CLAIM_LAG_HGBR_H1_LONG_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_HGBR_H1_REFERENCE_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_HGBR_H1_SHORT_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_HGBR_H3_LONG_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_HGBR_H3_REFERENCE_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_HGBR_H3_SHORT_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_HGBR_H5_LONG_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_HGBR_H5_REFERENCE_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_HGBR_H5_SHORT_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H1_LONG_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H1_REFERENCE_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H1_SHORT_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H3_LONG_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H3_REFERENCE_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H3_SHORT_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H5_LONG_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H5_REFERENCE_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_LAG_Ridge_H5_SHORT_MAE,use canonical claim statement and value,"main_lag_table,SI_lag",pending_editorial_use
CLAIM_PACKAGE_CORRECTED_PROTOCOL_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_PERSISTENCE_CORRECTED_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_RIDGE_CORRECTED_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_ELASTICNET_CORRECTED_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_HGBR_CORRECTED_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_BCR_TCN_V11_H5_CORRECTED_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_CANONICAL_H5_ASSEMBLY_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_FULLY_NESTED_HYBRIDRANK_FEASIBILITY_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_FIXED_HYBRIDRANK_SCORES_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_RETROSPECTIVE_ALARM_BUDGET_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_SEQUENTIAL_PAST_ONLY_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_SEQUENTIAL_QUOTA_ENFORCED_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_CANONICAL_H1_H3_RECONCILIATION_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_LAG_WINDOW_SENSITIVITY_DESIGN_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
CLAIM_PACKAGE_LAG_WINDOW_SENSITIVITY_EXECUTION_TEST,use canonical claim statement and value,"reproducibility_tree,methods",pending_editorial_use
