claim_id,claim_category,preferred_statement,numeric_value,display_value,unit,horizon,threshold,budget,model,policy,aggregation_scope,denominator,source_package,source_file,source_row_key,source_sha256,frozen_tag,peeled_commit,status,allowed_document_locations,prohibited_interpretation,notes
CLAIM_H5_TAU15_EVENTS,event_count,Canonical H5 events at 15 mg/L equal 134.,134,134,events,H5,15,na,na,na,pooled,N=747,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_predictions_wide.csv,horizon=5;threshold=15,bd0ff5160804c6945fb45e1c52c10d76f95ec1d85b4466f6ff681bed76431d77,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_H5_TAU16_EVENTS,event_count,Canonical H5 events at 16 mg/L equal 71.,71,71,events,H5,16,na,na,na,pooled,N=747,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_predictions_wide.csv,horizon=5;threshold=16,bd0ff5160804c6945fb45e1c52c10d76f95ec1d85b4466f6ff681bed76431d77,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_H5_TAU17_EVENTS,event_count,Canonical H5 events at 17 mg/L equal 29.,29,29,events,H5,17,na,na,na,pooled,N=747,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_predictions_wide.csv,horizon=5;threshold=17,bd0ff5160804c6945fb45e1c52c10d76f95ec1d85b4466f6ff681bed76431d77,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table1,results_text,reviewer_response",do not import historical H5 tau16=73 or submitted N=759 context,event labels reconciled to y_true
CLAIM_POINT_ElasticNet_H1_MAE,point_metric,ElasticNet pooled MAE at H1 is fixed by canonical held-out recomputation.,1.5824313701860826,1.5824313701860826,mg/L,H1,na,na,ElasticNet,na,pooled,N=762,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_pooled.csv,model=ElasticNet;horizon=1,33481ef6c2d9196af7f0b1dbc10b604ae3ac50097ae01072b65ae3ec2d9e4896,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_HGBR_H1_MAE,point_metric,HGBR pooled MAE at H1 is fixed by canonical held-out recomputation.,1.6649183736062991,1.6649183736062991,mg/L,H1,na,na,HGBR,na,pooled,N=762,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_pooled.csv,model=HGBR;horizon=1,33481ef6c2d9196af7f0b1dbc10b604ae3ac50097ae01072b65ae3ec2d9e4896,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_Persistence_H1_MAE,point_metric,Persistence pooled MAE at H1 is fixed by canonical held-out recomputation.,1.5460530815485565,1.5460530815485565,mg/L,H1,na,na,Persistence,na,pooled,N=762,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_pooled.csv,model=Persistence;horizon=1,33481ef6c2d9196af7f0b1dbc10b604ae3ac50097ae01072b65ae3ec2d9e4896,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_Ridge_H1_MAE,point_metric,Ridge pooled MAE at H1 is fixed by canonical held-out recomputation.,1.558675086988006,1.558675086988006,mg/L,H1,na,na,Ridge,na,pooled,N=762,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h1/canonical_h1_point_metrics_pooled.csv,model=Ridge;horizon=1,33481ef6c2d9196af7f0b1dbc10b604ae3ac50097ae01072b65ae3ec2d9e4896,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_ElasticNet_H3_MAE,point_metric,ElasticNet pooled MAE at H3 is fixed by canonical held-out recomputation.,1.776871067565453,1.776871067565453,mg/L,H3,na,na,ElasticNet,na,pooled,N=747,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_pooled.csv,model=ElasticNet;horizon=3,7593bcdde4930390ff464c2f3fb1e2f9850fa8f05377aa32e2d62214b68c782a,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_HGBR_H3_MAE,point_metric,HGBR pooled MAE at H3 is fixed by canonical held-out recomputation.,1.763640238285536,1.763640238285536,mg/L,H3,na,na,HGBR,na,pooled,N=747,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_pooled.csv,model=HGBR;horizon=3,7593bcdde4930390ff464c2f3fb1e2f9850fa8f05377aa32e2d62214b68c782a,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_Persistence_H3_MAE,point_metric,Persistence pooled MAE at H3 is fixed by canonical held-out recomputation.,2.025676317670683,2.025676317670683,mg/L,H3,na,na,Persistence,na,pooled,N=747,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_pooled.csv,model=Persistence;horizon=3,7593bcdde4930390ff464c2f3fb1e2f9850fa8f05377aa32e2d62214b68c782a,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_Ridge_H3_MAE,point_metric,Ridge pooled MAE at H3 is fixed by canonical held-out recomputation.,1.7975041211450118,1.7975041211450118,mg/L,H3,na,na,Ridge,na,pooled,N=747,canonical_h1_h3_reconciliation,revision_2026/09_h1_h3_reconciliation/h3/canonical_h3_point_metrics_pooled.csv,model=Ridge;horizon=3,7593bcdde4930390ff464c2f3fb1e2f9850fa8f05377aa32e2d62214b68c782a,canonical-h1-h3-reconciliation-v1,15cc6f8414df3e60692700963afc296e7653236e,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_BCR_TCN_v1.1_H5_MAE,point_metric,BCR-TCN v1.1 pooled MAE at H5 is fixed by canonical held-out recomputation.,12.595419934361056,12.595419934361056,mg/L,H5,na,na,BCR-TCN v1.1,na,pooled,N=747,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,model=BCR-TCN v1.1;horizon=5,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_ElasticNet_H5_MAE,point_metric,ElasticNet pooled MAE at H5 is fixed by canonical held-out recomputation.,1.787277086046654,1.787277086046654,mg/L,H5,na,na,ElasticNet,na,pooled,N=747,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,model=ElasticNet;horizon=5,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_HGBR_H5_MAE,point_metric,HGBR pooled MAE at H5 is fixed by canonical held-out recomputation.,1.8071915266682184,1.8071915266682184,mg/L,H5,na,na,HGBR,na,pooled,N=747,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,model=HGBR;horizon=5,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_Persistence_H5_MAE,point_metric,Persistence pooled MAE at H5 is fixed by canonical held-out recomputation.,2.074511378848728,2.074511378848728,mg/L,H5,na,na,Persistence,na,pooled,N=747,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,model=Persistence;horizon=5,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_POINT_Ridge_H5_MAE,point_metric,Ridge pooled MAE at H5 is fixed by canonical held-out recomputation.,1.773188441884341,1.773188441884341,mg/L,H5,na,na,Ridge,na,pooled,N=747,canonical_h5_assembly,revision_2026/05_canonical_predictions/h5_cross_model/canonical_h5_point_metrics_pooled.csv,model=Ridge;horizon=5,361831f28551ef8ce128439c0ee6a5e00c5fbaae71ebb24267ff6b4a487120b7,canonical-h5-assembly-v1,ea6e72f891afc7a62a9ca8206242f946047edbab,canonical,"main_table2,si_point_metrics,results",do not mix with point-blend or adaptive HybridRank v2,RMSE must be sqrt(pooled MSE)
CLAIM_RETRO_BCR-TCN_v1.1_H5_T16_R05_RECALL,retrospective_alarm,Retrospective H5 tau16 recall at r=0.05 for BCR-TCN v1.1 is fixed by fold-local top-k pooling.,0.028169014084507,0.028169014084507,fraction,H5,16,0.05,BCR-TCN v1.1,retrospective_offline_top_k,pooled,N=747,retrospective_alarm_budget,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,model=BCR-TCN v1.1;tau=16;r=0.05,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7,retrospective-h5-alarm-budget-v1,140b8193f31425f7506fae4f36987246eedab729,canonical,"main_table3,si_alarm_budget,discussion",not sequential; no global pooled ranking replacement,fold-local k applied first
CLAIM_RETRO_ElasticNet_H5_T16_R05_RECALL,retrospective_alarm,Retrospective H5 tau16 recall at r=0.05 for ElasticNet is fixed by fold-local top-k pooling.,0.1549295774647887,0.1549295774647887,fraction,H5,16,0.05,ElasticNet,retrospective_offline_top_k,pooled,N=747,retrospective_alarm_budget,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,model=ElasticNet;tau=16;r=0.05,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7,retrospective-h5-alarm-budget-v1,140b8193f31425f7506fae4f36987246eedab729,canonical,"main_table3,si_alarm_budget,discussion",not sequential; no global pooled ranking replacement,fold-local k applied first
CLAIM_RETRO_HGBR_H5_T16_R05_RECALL,retrospective_alarm,Retrospective H5 tau16 recall at r=0.05 for HGBR is fixed by fold-local top-k pooling.,0.1408450704225352,0.1408450704225352,fraction,H5,16,0.05,HGBR,retrospective_offline_top_k,pooled,N=747,retrospective_alarm_budget,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,model=HGBR;tau=16;r=0.05,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7,retrospective-h5-alarm-budget-v1,140b8193f31425f7506fae4f36987246eedab729,canonical,"main_table3,si_alarm_budget,discussion",not sequential; no global pooled ranking replacement,fold-local k applied first
CLAIM_RETRO_Persistence_H5_T16_R05_RECALL,retrospective_alarm,Retrospective H5 tau16 recall at r=0.05 for Persistence is fixed by fold-local top-k pooling.,0.1408450704225352,0.1408450704225352,fraction,H5,16,0.05,Persistence,retrospective_offline_top_k,pooled,N=747,retrospective_alarm_budget,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,model=Persistence;tau=16;r=0.05,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7,retrospective-h5-alarm-budget-v1,140b8193f31425f7506fae4f36987246eedab729,canonical,"main_table3,si_alarm_budget,discussion",not sequential; no global pooled ranking replacement,fold-local k applied first
CLAIM_RETRO_Ridge_H5_T16_R05_RECALL,retrospective_alarm,Retrospective H5 tau16 recall at r=0.05 for Ridge is fixed by fold-local top-k pooling.,0.1830985915492957,0.1830985915492957,fraction,H5,16,0.05,Ridge,retrospective_offline_top_k,pooled,N=747,retrospective_alarm_budget,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,model=Ridge;tau=16;r=0.05,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7,retrospective-h5-alarm-budget-v1,140b8193f31425f7506fae4f36987246eedab729,canonical,"main_table3,si_alarm_budget,discussion",not sequential; no global pooled ranking replacement,fold-local k applied first
CLAIM_RETRO_fixed_rank_ensemble_H5_T16_R05_RECALL,retrospective_alarm,Retrospective H5 tau16 recall at r=0.05 for fixed rank ensemble is fixed by fold-local top-k pooling.,0.1690140845070422,0.1690140845070422,fraction,H5,16,0.05,fixed rank ensemble,retrospective_offline_top_k,pooled,N=747,retrospective_alarm_budget,revision_2026/07_retrospective_alarm_budget/h5/retrospective_h5_alarm_metrics_pooled.csv,model=fixed rank ensemble;tau=16;r=0.05,b1daaeaf241027cdaf1d4b31b49d2758aa3e1f085c47d52bd0891c7ff19247e7,retrospective-h5-alarm-budget-v1,140b8193f31425f7506fae4f36987246eedab729,canonical,"main_table3,si_alarm_budget,discussion",not sequential; no global pooled ranking replacement,fold-local k applied first
CLAIM_SEQ_PAST_ONLY_SEQUENTIAL_THRESHOLD_SIMULATION_ELIGIBLE_N,sequential_structure,past_only_sequential_threshold_simulation pooled eligible dates are fixed.,657,657,dates,H5,all,all,all_models,past_only_sequential_threshold_simulation,pooled,eligible dates,sequential_past_only,tables/final_sequential_policy_table.csv,policy=past_only_sequential_threshold_simulation,8a9a154be7eef1c32af14092b985924844110b1f962b633c0b3372818b6603f3,sequential-h5-past-quantile-v1,e98a21d77033d746e7b77f348af8dc34be0768fd,canonical,"main_sequential_table,SI",not prospective field validation,expected pooled eligible 657
CLAIM_SEQ_HISTORICAL_QUOTA_ENFORCED_SEQUENTIAL_SIMULATION_ELIGIBLE_N,sequential_structure,historical_quota_enforced_sequential_simulation pooled eligible dates are fixed.,657,657,dates,H5,all,all,all_models,historical_quota_enforced_sequential_simulation,pooled,eligible dates,sequential_quota_enforced,tables/final_sequential_policy_table.csv,policy=historical_quota_enforced_sequential_simulation,8a9a154be7eef1c32af14092b985924844110b1f962b633c0b3372818b6603f3,quota-enforced-sequential-h5-v1,045d265f54d29eb1212758307161072c25379541,canonical,"main_sequential_table,SI",not prospective field validation,expected pooled eligible 657
CLAIM_LAG_HGBR_H1_LONG_MAE,lag_sensitivity,Lag sensitivity MAE for HGBR H1 LONG is fixed to frozen execution output.,1.6214560032497305,1.6214560032497305,mg/L,H1,na,na,HGBR,lag_sensitivity,pooled,canonical held-out rows,lag_window_sensitivity_execution,tables/final_lag_window_sensitivity_table.csv,model=HGBR;h=1;cfg=LONG,a453dac1d766950e6f3ae277b6258a83d653248351e75d2cae73e87a5b7a9979,lag-window-sensitivity-execution-v1,f61278b3e3fc2cb0b69564b346a4bf32e037b4fb,canonical,"main_lag_table,SI_lag",do not interpret as optimization or final-pathway retuning,reference mapping frozen
CLAIM_LAG_HGBR_H1_REFERENCE_MAE,lag_sensitivity,Lag sensitivity MAE for HGBR H1 REFERENCE is fixed to frozen execution output.,1.6649183823708138,1.6649183823708138,mg/L,H1,na,na,HGBR,lag_sensitivity,pooled,canonical held-out rows,lag_window_sensitivity_execution,tables/final_lag_window_sensitivity_table.csv,model=HGBR;h=1;cfg=REFERENCE,a453dac1d766950e6f3ae277b6258a83d653248351e75d2cae73e87a5b7a9979,lag-window-sensitivity-execution-v1,f61278b3e3fc2cb0b69564b346a4bf32e037b4fb,canonical,"main_lag_table,SI_lag",do not interpret as optimization or final-pathway retuning,reference mapping frozen
CLAIM_LAG_HGBR_H1_SHORT_MAE,lag_sensitivity,Lag sensitivity MAE for HGBR H1 SHORT is fixed to frozen execution output.,1.669819159153406,1.669819159153406,mg/L,H1,na,na,HGBR,lag_sensitivity,pooled,canonical held-out rows,lag_window_sensitivity_execution,tables/final_lag_window_sensitivity_table.csv,model=HGBR;h=1;cfg=SHORT,a453dac1d766950e6f3ae277b6258a83d653248351e75d2cae73e87a5b7a9979,lag-window-sensitivity-execution-v1,f61278b3e3fc2cb0b69564b346a4bf32e037b4fb,canonical,"main_lag_table,SI_lag",do not interpret as optimization or final-pathway retuning,reference mapping frozen
CLAIM_LAG_HGBR_H3_LONG_MAE,lag_sensitivity,Lag sensitivity MAE for HGBR H3 LONG is fixed to frozen execution output.,1.82191884851947,1.82191884851947,mg/L,H3,na,na,HGBR,lag_sensitivity,pooled,canonical held-out rows,lag_window_sensitivity_execution,tables/final_lag_window_sensitivity_table.csv,model=HGBR;h=3;cfg=LONG,a453dac1d766950e6f3ae277b6258a83d653248351e75d2cae73e87a5b7a9979,lag-window-sensitivity-execution-v1,f61278b3e3fc2cb0b69564b346a4bf32e037b4fb,canonical,"main_lag_table,SI_lag",do not interpret as optimization or final-pathway retuning,reference mapping frozen
CLAIM_LAG_HGBR_H3_REFERENCE_MAE,lag_sensitivity,Lag sensitivity MAE for HGBR H3 REFERENCE is fixed to frozen execution output.,1.7636402456336688,1.7636402456336688,mg/L,H3,na,na,HGBR,lag_sensitivity,pooled,canonical held-out rows,lag_window_sensitivity_execution,tables/final_lag_window_sensitivity_table.csv,model=HGBR;h=3;cfg=REFERENCE,a453dac1d766950e6f3ae277b6258a83d653248351e75d2cae73e87a5b7a9979,lag-window-sensitivity-execution-v1,f61278b3e3fc2cb0b69564b346a4bf32e037b4fb,canonical,"main_lag_table,SI_lag",do not interpret as optimization or final-pathway retuning,reference mapping frozen
CLAIM_LAG_HGBR_H3_SHORT_MAE,lag_sensitivity,Lag sensitivity MAE for HGBR H3 SHORT is fixed to frozen execution output.,1.8281471567054293,1.8281471567054293,mg/L,H3,na,na,HGBR,lag_sensitivity,pooled,canonical held-out rows,lag_window_sensitivity_execution,tables/final_lag_window_sensitivity_table.csv,model=HGBR;h=3;cfg=SHORT,a453dac1d766950e6f3ae277b6258a83d653248351e75d2cae73e87a5b7a9979,lag-window-sensitivity-execution-v1,f61278b3e3fc2cb0b69564b346a4bf32e037b4fb,canonical,"main_lag_table,SI_lag",do not interpret as optimization or final-pathway retuning,reference mapping frozen
CLAIM_LAG_HGBR_H5_LONG_MAE,lag_sensitivity,Lag sensitivity MAE for HGBR H5 LONG is fixed to frozen execution output.,1.8071915275699928,1.8071915275699928,mg/L,H5,na,na,HGBR,lag_sensitivity,pooled,canonical held-out rows,lag_window_sensitivity_execution,tables/final_lag_window_sensitivity_table.csv,model=HGBR;h=5;cfg=LONG,a453dac1d766950e6f3ae277b6258a83d653248351e75d2cae73e87a5b7a9979,lag-window-sensitivity-execution-v1,f61278b3e3fc2cb0b69564b346a4bf32e037b4fb,canonical,"main_lag_table,SI_lag",do not interpret as optimization or final-pathway retuning,reference mapping frozen
CLAIM_LAG_HGBR_H5_REFERENCE_MAE,lag_sensitivity,Lag sensitivity MAE for HGBR H5 REFERENCE is fixed to frozen execution output.,1.7913994552038746,1.7913994552038746,mg/L,H5,na,na,HGBR,lag_sensitivity,pooled,canonical held-out rows,lag_window_sensitivity_execution,tables/final_lag_window_sensitivity_table.csv,model=HGBR;h=5;cfg=REFERENCE,a453dac1d766950e6f3ae277b6258a83d653248351e75d2cae73e87a5b7a9979,lag-window-sensitivity-execution-v1,f61278b3e3fc2cb0b69564b346a4bf32e037b4fb,canonical,"main_lag_table,SI_lag",do not interpret as optimization or final-pathway retuning,reference mapping frozen
