record_type,part,horizon,fold,model_family,feature_date_train_start,feature_date_train_end,target_date_train_start,target_date_train_end,feature_date_validation_start,feature_date_validation_end,target_date_validation_start,target_date_validation_end,feature_date_test_start,feature_date_test_end,target_date_test_start,target_date_test_end,outer_train_rows,training_rows,validation_rows,test_rows,boundary_condition,boundary_result,overlap_target_dates_count,overlap_target_dates,offending_training_rows,boundary_reference_date,rows_to_remove,effective_purge_days,validation_tail_size,last_15_percent_rule,h_day_purge_applied,predictions_relative_to_required_purge,evidence,notes
outer_train_test_purge,B,1,2,all_models_using_blocked_cv,2021-01-18,2022-06-09,2021-01-19,2022-06-10,NA,NA,NA,NA,2022-06-10,2023-02-18,2022-06-11,2023-02-19,508,508,0,254,max(outer_training_target_date) < min(test_feature_date),FAIL,1,2022-06-10,2022-06-09->2022-06-10,2022-06-10,1,1,NA,NA,NO,before_required_purge,"TimeSeriesSplit with no gap in src/save_fold_predictions.py, src/run_linear_alarm.py, src/save_hgbr_predictions_v2.py, src/train_bcr_tcn_v11.py",No purge-gap parameter used in any blocked CV training/prediction script.
inner_train_validation_purge,C,1,2,TCN/BCR-TCN,2021-01-18,2022-03-24,2021-01-19,2022-03-25,2022-03-25,2022-06-09,2022-03-26,2022-06-10,NA,NA,NA,NA,508,431,77,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,1,2022-03-25,2022-03-24->2022-03-25,2022-03-25,1,1,77,YES,NO,before_required_purge,src/train_bcr_tcn_v11.py cut=floor(len(tr_idx)*(1-val_frac)); val_frac=0.15; no purge step,"Chronological validation tail exists, but contiguous split causes horizon-dependent leakage at boundary."
inner_train_validation_purge,C,1,2,HGBR,2021-01-18,2022-06-09,2021-01-19,2022-06-10,2021-01-20,2022-06-08,2021-01-21,2022-06-09,NA,NA,NA,NA,508,457,51,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,48,2021-01-20;2021-01-27;2021-02-17;2021-03-14;2021-03-22;2021-03-27;2021-03-29;2021-03-31;2021-04-04;2021-04-07;2021-04-12;2021-05-15;2021-05-22;2021-05-29;2021-06-07;2021-06-20;2021-07-04;2021-07-09;2021-07-17;2021-07-22;2021-08-14;2021-09-04;2021-09-06;2021-09-09;2021-09-22;2021-09-25;2021-10-13;2021-10-20;2021-10-29;2021-11-15;2021-11-30;2021-12-04;2021-12-08;2022-01-20;2022-01-29;2022-02-18;2022-02-22;2022-02-25;2022-02-28;2022-03-09;2022-03-17;2022-04-12;2022-05-05;2022-05-08;2022-05-15;2022-05-18;2022-05-26;2022-06-08,2021-01-19->2021-01-20;2021-01-26->2021-01-27;2021-02-16->2021-02-17;2021-03-13->2021-03-14;2021-03-21->2021-03-22;2021-03-26->2021-03-27;2021-03-28->2021-03-29;2021-03-30->2021-03-31;2021-04-03->2021-04-04;2021-04-06->2021-04-07;2021-04-11->2021-04-12;2021-05-14->2021-05-15;2021-05-21->2021-05-22;2021-05-28->2021-05-29;2021-06-06->2021-06-07;2021-06-19->2021-06-20;2021-07-03->2021-07-04;2021-07-08->2021-07-09;2021-07-16->2021-07-17;2021-07-21->2021-07-22;2021-08-13->2021-08-14;2021-09-03->2021-09-04;2021-09-05->2021-09-06;2021-09-08->2021-09-09;2021-09-21->2021-09-22;2021-09-24->2021-09-25;2021-10-12->2021-10-13;2021-10-19->2021-10-20;2021-10-28->2021-10-29;2021-11-14->2021-11-15;2021-11-29->2021-11-30;2021-12-03->2021-12-04;2021-12-07->2021-12-08;2022-01-19->2022-01-20;2022-01-28->2022-01-29;2022-02-17->2022-02-18;2022-02-21->2022-02-22;2022-02-24->2022-02-25;2022-02-27->2022-02-28;2022-03-08->2022-03-09;2022-03-16->2022-03-17;2022-04-11->2022-04-12;2022-05-04->2022-05-05;2022-05-07->2022-05-08;2022-05-14->2022-05-15;2022-05-17->2022-05-18;2022-05-25->2022-05-26;2022-06-07->2022-06-08,2021-01-20,48,507,51,NO,NO,before_required_purge,"src/train_hgbr_optuna_v2.py and src/save_hgbr_predictions_v2.py use HistGradientBoostingRegressor(early_stopping=True, validation_fraction=0.1, random_state=42)","Validation split reconstructed using sklearn random split assumption (shuffle=True, random_state=42)."
inner_train_validation_purge,C,1,2,ElasticNet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,"src/save_fold_predictions.py and src/run_linear_alarm.py fit Pipeline(StandardScaler, ElasticNet) directly on outer train folds.",No explicit inner validation tail in final fold fit; hyperparameter selection handled separately.
inner_train_validation_purge,C,1,2,Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/train_main_linear.py evaluates Ridge grid via TimeSeriesSplit; no saved ridge fold predictions.,No explicit inner validation tail in final fold fit artifacts.
inner_train_validation_purge,C,1,2,HybridRank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py uses tr = rows with fold != test_fold; no subtrain/validation split.,Cross-fold training rows used directly for objective evaluation; no explicit validation tail.
inner_train_validation_purge,C,1,2,point blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py point-hybrid weights selected by train MAE on tr folds.,No explicit inner validation tail; objective evaluated on train folds only.
inner_train_validation_purge,C,1,2,risk-score blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py rank weights selected on tr folds; budget-specific guarded objective optional.,No explicit inner validation tail; objective evaluated on train folds only.
canonical_temporal_index,A,1,3,all_models,2021-01-18,2022-10-26,2021-01-19,2022-10-27,2022-10-27,2023-02-18,2022-10-28,2023-02-19,2023-02-19,2023-10-30,2023-02-20,2023-10-31,762,647,115,254,NA,NA,NA,NA,NA,NA,NA,NA,115,YES,NO,before_required_purge,results/tables/blocked_cv_assignment_matrix_H1.csv + src/export_methods_figure_cv_csvs.py_VAL_FRAC_0.15,target_date = feature_date + horizon verified in feature builders (y=TNout.shift(-h)).
outer_train_test_purge,B,1,3,all_models_using_blocked_cv,2021-01-18,2023-02-18,2021-01-19,2023-02-19,NA,NA,NA,NA,2023-02-19,2023-10-30,2023-02-20,2023-10-31,762,762,0,254,max(outer_training_target_date) < min(test_feature_date),FAIL,1,2023-02-19,2023-02-18->2023-02-19,2023-02-19,1,1,NA,NA,NO,before_required_purge,"TimeSeriesSplit with no gap in src/save_fold_predictions.py, src/run_linear_alarm.py, src/save_hgbr_predictions_v2.py, src/train_bcr_tcn_v11.py",No purge-gap parameter used in any blocked CV training/prediction script.
inner_train_validation_purge,C,1,3,TCN/BCR-TCN,2021-01-18,2022-10-26,2021-01-19,2022-10-27,2022-10-27,2023-02-18,2022-10-28,2023-02-19,NA,NA,NA,NA,762,647,115,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,1,2022-10-27,2022-10-26->2022-10-27,2022-10-27,1,1,115,YES,NO,before_required_purge,src/train_bcr_tcn_v11.py cut=floor(len(tr_idx)*(1-val_frac)); val_frac=0.15; no purge step,"Chronological validation tail exists, but contiguous split causes horizon-dependent leakage at boundary."
inner_train_validation_purge,C,1,3,HGBR,2021-01-18,2023-02-18,2021-01-19,2023-02-19,2021-01-28,2023-02-13,2021-01-29,2023-02-14,NA,NA,NA,NA,762,685,77,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,67,2021-01-28;2021-02-18;2021-02-20;2021-02-26;2021-03-13;2021-03-25;2021-04-05;2021-04-12;2021-04-25;2021-05-07;2021-05-16;2021-07-11;2021-07-30;2021-08-02;2021-08-10;2021-08-14;2021-08-18;2021-08-21;2021-09-02;2021-09-06;2021-10-05;2021-10-09;2021-10-20;2021-11-06;2021-11-08;2021-11-13;2021-12-03;2021-12-07;2021-12-15;2021-12-26;2022-01-10;2022-01-14;2022-01-22;2022-02-18;2022-02-27;2022-03-03;2022-03-18;2022-04-09;2022-04-12;2022-05-10;2022-05-12;2022-05-15;2022-05-18;2022-05-27;2022-06-08;2022-06-27;2022-08-09;2022-08-17;2022-08-23;2022-08-25;2022-08-29;2022-09-05;2022-09-27;2022-10-03;2022-10-11;2022-11-11;2022-11-20;2022-11-29;2022-12-03;2022-12-29;2023-01-02;2023-01-06;2023-01-16;2023-01-28;2023-01-31;2023-02-05;2023-02-13,2021-01-27->2021-01-28;2021-02-17->2021-02-18;2021-02-19->2021-02-20;2021-02-25->2021-02-26;2021-03-12->2021-03-13;2021-03-24->2021-03-25;2021-04-04->2021-04-05;2021-04-11->2021-04-12;2021-04-24->2021-04-25;2021-05-06->2021-05-07;2021-05-15->2021-05-16;2021-07-10->2021-07-11;2021-07-29->2021-07-30;2021-08-01->2021-08-02;2021-08-09->2021-08-10;2021-08-13->2021-08-14;2021-08-17->2021-08-18;2021-08-20->2021-08-21;2021-09-01->2021-09-02;2021-09-05->2021-09-06;2021-10-04->2021-10-05;2021-10-08->2021-10-09;2021-10-19->2021-10-20;2021-11-05->2021-11-06;2021-11-07->2021-11-08;2021-11-12->2021-11-13;2021-12-02->2021-12-03;2021-12-06->2021-12-07;2021-12-14->2021-12-15;2021-12-25->2021-12-26;2022-01-09->2022-01-10;2022-01-13->2022-01-14;2022-01-21->2022-01-22;2022-02-17->2022-02-18;2022-02-26->2022-02-27;2022-03-02->2022-03-03;2022-03-17->2022-03-18;2022-04-08->2022-04-09;2022-04-11->2022-04-12;2022-05-09->2022-05-10;2022-05-11->2022-05-12;2022-05-14->2022-05-15;2022-05-17->2022-05-18;2022-05-26->2022-05-27;2022-06-07->2022-06-08;2022-06-26->2022-06-27;2022-08-08->2022-08-09;2022-08-16->2022-08-17;2022-08-22->2022-08-23;2022-08-24->2022-08-25;2022-08-28->2022-08-29;2022-09-04->2022-09-05;2022-09-26->2022-09-27;2022-10-02->2022-10-03;2022-10-10->2022-10-11;2022-11-10->2022-11-11;2022-11-19->2022-11-20;2022-11-28->2022-11-29;2022-12-02->2022-12-03;2022-12-28->2022-12-29;2023-01-01->2023-01-02;2023-01-05->2023-01-06;2023-01-15->2023-01-16;2023-01-27->2023-01-28;2023-01-30->2023-01-31;2023-02-04->2023-02-05;2023-02-12->2023-02-13,2021-01-28,67,753,77,NO,NO,before_required_purge,"src/train_hgbr_optuna_v2.py and src/save_hgbr_predictions_v2.py use HistGradientBoostingRegressor(early_stopping=True, validation_fraction=0.1, random_state=42)","Validation split reconstructed using sklearn random split assumption (shuffle=True, random_state=42)."
inner_train_validation_purge,C,1,3,ElasticNet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,"src/save_fold_predictions.py and src/run_linear_alarm.py fit Pipeline(StandardScaler, ElasticNet) directly on outer train folds.",No explicit inner validation tail in final fold fit; hyperparameter selection handled separately.
inner_train_validation_purge,C,1,3,Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/train_main_linear.py evaluates Ridge grid via TimeSeriesSplit; no saved ridge fold predictions.,No explicit inner validation tail in final fold fit artifacts.
inner_train_validation_purge,C,1,3,HybridRank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py uses tr = rows with fold != test_fold; no subtrain/validation split.,Cross-fold training rows used directly for objective evaluation; no explicit validation tail.
inner_train_validation_purge,C,1,3,point blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py point-hybrid weights selected by train MAE on tr folds.,No explicit inner validation tail; objective evaluated on train folds only.
inner_train_validation_purge,C,1,3,risk-score blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py rank weights selected on tr folds; budget-specific guarded objective optional.,No explicit inner validation tail; objective evaluated on train folds only.
canonical_temporal_index,A,3,1,all_models,2021-02-03,2021-09-03,2021-02-06,2021-09-06,2021-09-04,2021-10-11,2021-09-07,2021-10-14,2021-10-12,2022-06-17,2021-10-15,2022-06-20,251,213,38,249,NA,NA,NA,NA,NA,NA,NA,NA,38,YES,NO,before_required_purge,results/tables/blocked_cv_assignment_matrix_H3.csv + src/export_methods_figure_cv_csvs.py_VAL_FRAC_0.15,target_date = feature_date + horizon verified in feature builders (y=TNout.shift(-h)).
outer_train_test_purge,B,3,1,all_models_using_blocked_cv,2021-02-03,2021-10-11,2021-02-06,2021-10-14,NA,NA,NA,NA,2021-10-12,2022-06-17,2021-10-15,2022-06-20,251,251,0,249,max(outer_training_target_date) < min(test_feature_date),FAIL,3,2021-10-12;2021-10-13;2021-10-14,2021-10-09->2021-10-12;2021-10-10->2021-10-13;2021-10-11->2021-10-14,2021-10-12,3,3,NA,NA,NO,before_required_purge,"TimeSeriesSplit with no gap in src/save_fold_predictions.py, src/run_linear_alarm.py, src/save_hgbr_predictions_v2.py, src/train_bcr_tcn_v11.py",No purge-gap parameter used in any blocked CV training/prediction script.
inner_train_validation_purge,C,3,1,TCN/BCR-TCN,2021-02-03,2021-09-03,2021-02-06,2021-09-06,2021-09-04,2021-10-11,2021-09-07,2021-10-14,NA,NA,NA,NA,251,213,38,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,3,2021-09-04;2021-09-05;2021-09-06,2021-09-01->2021-09-04;2021-09-02->2021-09-05;2021-09-03->2021-09-06,2021-09-04,3,3,38,YES,NO,before_required_purge,src/train_bcr_tcn_v11.py cut=floor(len(tr_idx)*(1-val_frac)); val_frac=0.15; no purge step,"Chronological validation tail exists, but contiguous split causes horizon-dependent leakage at boundary."
inner_train_validation_purge,C,3,1,HGBR,2021-02-03,2021-10-11,2021-02-06,2021-10-14,2021-02-09,2021-10-09,2021-02-12,2021-10-12,NA,NA,NA,NA,251,225,26,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,23,2021-02-09;2021-02-18;2021-02-22;2021-02-27;2021-03-20;2021-04-04;2021-04-11;2021-04-12;2021-05-27;2021-05-29;2021-06-03;2021-06-22;2021-07-08;2021-07-17;2021-07-28;2021-07-30;2021-08-04;2021-08-17;2021-09-08;2021-09-10;2021-09-16;2021-10-02;2021-10-09,2021-02-06->2021-02-09;2021-02-15->2021-02-18;2021-02-19->2021-02-22;2021-02-24->2021-02-27;2021-03-17->2021-03-20;2021-04-01->2021-04-04;2021-04-08->2021-04-11;2021-04-09->2021-04-12;2021-05-24->2021-05-27;2021-05-26->2021-05-29;2021-05-31->2021-06-03;2021-06-19->2021-06-22;2021-07-05->2021-07-08;2021-07-14->2021-07-17;2021-07-25->2021-07-28;2021-07-27->2021-07-30;2021-08-01->2021-08-04;2021-08-14->2021-08-17;2021-09-05->2021-09-08;2021-09-07->2021-09-10;2021-09-13->2021-09-16;2021-09-29->2021-10-02;2021-10-06->2021-10-09,2021-02-09,23,248,26,NO,NO,before_required_purge,"src/train_hgbr_optuna_v2.py and src/save_hgbr_predictions_v2.py use HistGradientBoostingRegressor(early_stopping=True, validation_fraction=0.1, random_state=42)","Validation split reconstructed using sklearn random split assumption (shuffle=True, random_state=42)."
inner_train_validation_purge,C,3,1,ElasticNet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,"src/save_fold_predictions.py and src/run_linear_alarm.py fit Pipeline(StandardScaler, ElasticNet) directly on outer train folds.",No explicit inner validation tail in final fold fit; hyperparameter selection handled separately.
inner_train_validation_purge,C,3,1,Ridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/train_main_linear.py evaluates Ridge grid via TimeSeriesSplit; no saved ridge fold predictions.,No explicit inner validation tail in final fold fit artifacts.
inner_train_validation_purge,C,3,1,HybridRank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py uses tr = rows with fold != test_fold; no subtrain/validation split.,Cross-fold training rows used directly for objective evaluation; no explicit validation tail.
inner_train_validation_purge,C,3,1,point blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py point-hybrid weights selected by train MAE on tr folds.,No explicit inner validation tail; objective evaluated on train folds only.
inner_train_validation_purge,C,3,1,risk-score blend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,max(inner_subtrain_target_date) < min(validation_feature_date),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NO,NO,before_required_purge,src/make_hybrid_rank_ensemble_v2.py rank weights selected on tr folds; budget-specific guarded objective optional.,No explicit inner validation tail; objective evaluated on train folds only.
canonical_temporal_index,A,3,2,all_models,2021-02-03,2022-04-03,2021-02-06,2022-04-06,2022-04-04,2022-06-17,2022-04-07,2022-06-20,2022-06-18,2023-02-21,2022-06-21,2023-02-24,500,425,75,249,NA,NA,NA,NA,NA,NA,NA,NA,75,YES,NO,before_required_purge,results/tables/blocked_cv_assignment_matrix_H3.csv + src/export_methods_figure_cv_csvs.py_VAL_FRAC_0.15,target_date = feature_date + horizon verified in feature builders (y=TNout.shift(-h)).
outer_train_test_purge,B,3,2,all_models_using_blocked_cv,2021-02-03,2022-06-17,2021-02-06,2022-06-20,NA,NA,NA,NA,2022-06-18,2023-02-21,2022-06-21,2023-02-24,500,500,0,249,max(outer_training_target_date) < min(test_feature_date),FAIL,3,2022-06-18;2022-06-19;2022-06-20,2022-06-15->2022-06-18;2022-06-16->2022-06-19;2022-06-17->2022-06-20,2022-06-18,3,3,NA,NA,NO,before_required_purge,"TimeSeriesSplit with no gap in src/save_fold_predictions.py, src/run_linear_alarm.py, src/save_hgbr_predictions_v2.py, src/train_bcr_tcn_v11.py",No purge-gap parameter used in any blocked CV training/prediction script.
inner_train_validation_purge,C,3,2,TCN/BCR-TCN,2021-02-03,2022-04-03,2021-02-06,2022-04-06,2022-04-04,2022-06-17,2022-04-07,2022-06-20,NA,NA,NA,NA,500,425,75,0,max(inner_subtrain_target_date) < min(validation_feature_date),FAIL,3,2022-04-04;2022-04-05;2022-04-06,2022-04-01->2022-04-04;2022-04-02->2022-04-05;2022-04-03->2022-04-06,2022-04-04,3,3,75,YES,NO,before_required_purge,src/train_bcr_tcn_v11.py cut=floor(len(tr_idx)*(1-val_frac)); val_frac=0.15; no purge step,"Chronological validation tail exists, but contiguous split causes horizon-dependent leakage at boundary."
