execution_order,model,horizon,existing_artifact_status,audit_decision,required_action,hyperparameter_strategy,inner_validation_strategy,outer_test_strategy,common_test_date_requirement,random_seeds,expected_output,reason,estimated_compute_class,ready_to_run
11,HGBR,3,available,retrain and revalidate because leakage affected fitting,nested_revalidation_required_before_any_final_model_lock,tune_only_within_outer_train_using_purged_inner_selection,strict_purged_inner_validation_required,single_pass_outer_test_prediction_after_nested_selection,use corrected_split_assignment.csv canonical outer_test dates for H3 across all models,fixed_seed_42_plus_family_specific_seed_manifest,revision_2026/04_corrected_runs/HGBR_H3_predictions_and_metrics,Chronology of inner validation and non-nested tuning both require revalidation.,high,NO_pending_training_authorization
12,HGBR,5,available,retrain and revalidate because leakage affected fitting,nested_revalidation_required_before_any_final_model_lock,tune_only_within_outer_train_using_purged_inner_selection,strict_purged_inner_validation_required,single_pass_outer_test_prediction_after_nested_selection,use corrected_split_assignment.csv canonical outer_test dates for H5 across all models,fixed_seed_42_plus_family_specific_seed_manifest,revision_2026/04_corrected_runs/HGBR_H5_predictions_and_metrics,Temporal validation and model-selection leakage affect fitted configuration credibility.,high,NO_pending_training_authorization
13,TCN/BCR-TCN,1,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,use_v11_locked_config_or_predeclared_grid_within_outer_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H1 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/TCN_BCR-TCN_H1_predictions_and_metrics,No H1 BCR-TCN prediction artifact available.,high,NO_pending_training_authorization
14,TCN/BCR-TCN,3,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,use_v11_locked_config_or_predeclared_grid_within_outer_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H3 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/TCN_BCR-TCN_H3_predictions_and_metrics,No H3 BCR-TCN prediction artifact available.,high,NO_pending_training_authorization
15,TCN/BCR-TCN,5,available,rerun using fixed existing hyperparameters on corrected folds,refit_with_fixed_hyperparameters_on_purged_nested_splits,reuse_existing_locked_hyperparameters_no_global_retuning,purged_chronological_inner_validation_or_purged_inner_blocked_cv,single_pass_outer_test_prediction_after_selection_no_feedback,use corrected_split_assignment.csv canonical outer_test dates for H5 across all models,fixed_seed_42_and_model_specific_seed_manifest,revision_2026/04_corrected_runs/TCN_BCR-TCN_H5_predictions_and_metrics,Keep current hyperparameters but enforce horizon purge before validation/test boundaries.,medium,NO_pending_training_authorization
16,HybridRank,1,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,reuse_predeclared_weight_grid_and_guard_objective_on_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H1 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/HybridRank_H1_predictions_and_metrics,No H1 HybridRank run artifact present.,medium,NO_pending_training_authorization
17,HybridRank,3,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,reuse_predeclared_weight_grid_and_guard_objective_on_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H3 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/HybridRank_H3_predictions_and_metrics,No H3 HybridRank run artifact present.,medium,NO_pending_training_authorization
18,HybridRank,5,available,rerun using fixed existing hyperparameters on corrected folds,refit_with_fixed_hyperparameters_on_purged_nested_splits,reuse_existing_locked_hyperparameters_no_global_retuning,purged_chronological_inner_validation_or_purged_inner_blocked_cv,single_pass_outer_test_prediction_after_selection_no_feedback,use corrected_split_assignment.csv canonical outer_test dates for H5 across all models,fixed_seed_42_and_model_specific_seed_manifest,revision_2026/04_corrected_runs/HybridRank_H5_predictions_and_metrics,Rebuild on corrected base predictions with predeclared single run-selection rule.,medium,NO_pending_training_authorization
19,point blend,1,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,reuse_predeclared_weight_grid_and_guard_objective_on_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H1 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/point_blend_H1_predictions_and_metrics,No H1 point blend artifact in hybrid run structure.,medium,NO_pending_training_authorization
20,point blend,3,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,reuse_predeclared_weight_grid_and_guard_objective_on_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H3 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/point_blend_H3_predictions_and_metrics,No H3 point blend artifact in hybrid run structure.,medium,NO_pending_training_authorization
21,point blend,5,available,rerun using fixed existing hyperparameters on corrected folds,refit_with_fixed_hyperparameters_on_purged_nested_splits,reuse_existing_locked_hyperparameters_no_global_retuning,purged_chronological_inner_validation_or_purged_inner_blocked_cv,single_pass_outer_test_prediction_after_selection_no_feedback,use corrected_split_assignment.csv canonical outer_test dates for H5 across all models,fixed_seed_42_and_model_specific_seed_manifest,revision_2026/04_corrected_runs/point_blend_H5_predictions_and_metrics,Blend can be rerun with same weight-grid logic after corrected base-model reruns.,medium,NO_pending_training_authorization
22,risk-score blend,1,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,reuse_predeclared_weight_grid_and_guard_objective_on_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H1 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/risk-score_blend_H1_predictions_and_metrics,No H1 risk-score blend artifact in hybrid run structure.,medium,NO_pending_training_authorization
23,risk-score blend,3,missing,missing model artifact,reconstruct_missing_artifact_under_corrected_protocol,reuse_predeclared_weight_grid_and_guard_objective_on_train_only,purged_inner_validation_required_for_any_fitted_component,single_pass_outer_test_prediction_after_component_selection,use corrected_split_assignment.csv canonical outer_test dates for H3 across all models,fixed_seed_42_and_component_specific_seed_manifest,revision_2026/04_corrected_runs/risk-score_blend_H3_predictions_and_metrics,No H3 risk-score blend artifact in hybrid run structure.,medium,NO_pending_training_authorization
24,risk-score blend,5,available,rerun using fixed existing hyperparameters on corrected folds,refit_with_fixed_hyperparameters_on_purged_nested_splits,reuse_existing_locked_hyperparameters_no_global_retuning,purged_chronological_inner_validation_or_purged_inner_blocked_cv,single_pass_outer_test_prediction_after_selection_no_feedback,use corrected_split_assignment.csv canonical outer_test dates for H5 across all models,fixed_seed_42_and_model_specific_seed_manifest,revision_2026/04_corrected_runs/risk-score_blend_H5_predictions_and_metrics,Keep same weight objective family but re-evaluate with corrected folds and deployable policy calibration.,medium,NO_pending_training_authorization
